POLQAScoreDL,AggActiveEcIo,AggActiveRSCP,ActiveSetMemberCount,AggActiveoverAggNonActive,BestActiveoverBestNonActive,DetectedSetCount,MonitoredSetCount,PathlossTop1,ULintfTop1,RACHLastTXpower,EcIoA1,EcIoA2,RSCPA1,RSCPA2,Speed,ASU_to_ASUC_ms,E1A_to_ASU_Delay_ms,E1A_to_ASUC_Delay_ms,E1B_to_ASU_Delay_ms,E1B_to_ASUC_Delay_ms,Interval_ASU_ASU_seconds,CompositeBLER%,NumofErrorBlocks,ReceivedGoodBlocks-Sum
3.599999905,-7.099999905,-81.80000305,2,0.100000001,0.800000012,4,6,128,-106,-22,-8.199999809,-15,-82.90000153,-89.69999695,31.89999962,0,986,987,878,878,0.99000001,3.700000048,10,261
4.309999943,-5.300000191,-71,2,-10.19999981,-6.599999905,3,5,104,-106,-22,-6.599999905,-11.39999962,-72.30000305,-77,37.40000153,186,391,392,167,353,2.380000114,13.89999962,17,105
4.449999809,-9.300000191,-64,1,-9.399999619,-6.300000191,1,2,104,-106,-22,-9.800000191,-10.30000019,-64.59999847,-68.19999695,18.89999962,1,391,392,245,247,4.75,10.5,52,480
4.340000153,-4.800000191,-67,2,9.399999619,11.30000019,0,3,101.5999985,-106,-22,-5.099999905,-11.60000038,-67.40000153,-73.90000153,40,0,7882,7882,320,320,2.339999914,13.19999981,31,228
3.769999981,-7.699999809,-65.90000153,1,-6.5,-4.800000191,1,1,101.5999985,-106,-22,-8.199999809,-9.100000381,-68.80000305,-68.19999695,10,32,328,328,244,324,4.269999981,13.5,123,906
4.159999847,-6.900000095,-69,2,-6.199999809,-4.300000191,1,3,101.5999985,-106,-22,-8.399999619,-10,-72.59999847,-74.19999695,19.39999962,52,2008,2008,282,336,1.179999948,6,31,447
4.309999943,-9,-56.5,1,-6.800000191,-5.300000191,1,1,101.5999985,-106,-22,-9,-13.19999981,-56.5,-79.09999847,18.39999962,2,385,385,250,252,2.25999999,13.69999981,66,447
4.289999962,-6.800000191,-72.40000153,2,-12.30000019,-8.399999619,4,3,111.5,-106,-22,-8.399999619,-13.19999981,-74,-79.09999847,23,2,385,385,250,252,2.25999999,5.400000095,29,537
4.289999962,-8.5,-55.5,2,-11.5,-10.39999962,3,0,111.5,-106,-22,-10.39999962,-12.89999962,-56.29999924,-63.40000153,38.59999847,0,385,385,277,278,7.800000191,24.29999924,27,84
3.700000048,-6.400000095,-58.40000153,2,-0.100000001,0,2,3,111.5,-106,-22,-8.800000191,-10.19999981,-60.70000076,-62.29999924,32.79999924,2,281,281,395,398,2.049999952,9.899999619,36,380
4.010000229,-7.800000191,-61.79999924,2,-12.30000019,-9.800000191,0,0,111.5,-106,-22,-10.19999981,-11.39999962,-64,-65.80000305,35.5,2,281,281,395,398,2.049999952,15.30000019,19,105
4.489999771,-9.800000191,-60.5,1,-12.30000019,-9.800000191,2,2,111.5,-106,-22,-9.800000191,-10.69999981,-60.5,-73.40000153,41.59999847,2,281,281,395,398,2.049999952,18.39999962,42,205
4.369999886,-5.800000191,-68.30000305,3,7.800000191,10.39999962,0,6,111.5,-106,-22,-9.100000381,-10.69999981,-71.69999695,-73.40000153,33.59999847,2,281,281,395,398,2.049999952,13.5,34,217
